2016/2017,2018,IS1114,2
17020018,B-,,
17020026,B-,,
17020034,C+,,
17020042,E,,
17020052,C,,
17020069,B-,,
17020077,B+,,
17020085,C+,,
17020093,B+,,
17020107,B,,
17020115,F,,
17020123,B-,,
17020131,B-,,
17020141,A,,
17020158,F,,
17020166,B,,
17020174,B,,
17020182,D+,,
17020192,E,,
17020204,A,,
17020212,B+,,
17020222,F,,
17020239,B,,
17020247,B-,,
17020255,A,,
17020263,A,,
17020271,B-,,
17020281,B-,,
17020298,F,,
17020301,A-,,
17020311,A,,
17020328,C,,
17020336,B+,,
17020344,F,,
17020352,B+,,
17020362,A+,,
17020379,C,,
17020387,A-,,
17020395,F,,
17020409,C+,,
17020417,D+,,
17020425,A,,
17020433,B,,
17020441,F,,
17020451,C-,,
17020468,F,,
17020476,C+,,
17020484,F,,
17020492,F,,
17020506,F,,
17020514,F,,
17020522,A+,,
17020532,A+,,
17020549,B,,
17020557,C,,
17020565,A,,
17020573,B,,
17020581,B,,
17020591,C-,,
17020603,A,,
17020611,C,,
17020621,C+,,
17020638,F,,
17020646,B,,
17020654,C+,,
17020662,B,,
17020672,B,,
17020689,A,,
17020697,B-,,
17020702,A,,
17020719,A-,,
17020727,D+,,
17020735,F,,
17020743,A,,
17020751,B+,,
17020761,B-,,
17020778,E,,
17020786,F,,
17020794,A,,
17020808,B,,
17020816,B-,,
17020824,B+,,
17020832,B,,
17020842,A,,
17020859,C,,
17020867,F,,
17020875,A,,
17020883,D,,
17020891,B,,
17020905,B-,,
17020913,B-,,
17020921,F,,
17020931,B-,,
17020948,F,,
17020956,B+,,
17020964,F,,
17020972,A,,
17020982,B,,
17020999,C,,
17021006,A-,,
17021014,A-,,
17021022,D,,
